"R0000100","R0618300","R2925010","R2928400","T1215600"
3327,5,-5,-5,-5
3328,66,1177,3,-5
3329,69,-4,-4,-5
3330,16,1100,3,1
3331,25,-4,0,1
3332,-4,630,3,1
3333,-4,1000,3,1
3334,24,400,3,-5
3335,49,-5,-5,-5
3336,27,-5,-5,-5
3337,80,1391,5,5
3338,88,916,5,4
3339,80,-4,-4,-5
3340,49,1125,2,-5
3341,37,726,5,5
3342,26,1298,4,3
3343,18,750,0,0
3344,67,1000,3,-5
3345,49,-5,-5,1
3346,13,950,0,1
3347,53,961,3,1
3348,33,-4,-4,-5
3349,16,750,4,-5
3350,53,708,3,1
3351,66,-4,-4,1
3352,72,16224,5,3
3353,15,860,3,1
3354,36,515,1,1
3355,71,1300,4,2
3356,40,750,4,8
3357,42,850,3,4
3358,84,-4,-4,1
3359,79,865,3,1
3360,52,600,5,4
3361,64,1900,5,6
3362,37,476,3,1
3363,68,-4,-4,1
3364,80,884,4,2
3365,31,625,5,2
3366,76,-4,5,-5
3367,99,1127,5,6
3368,97,2034,5,4
3369,95,1330,5,4
3370,57,1627,5,5
3371,7,500,3,0
3372,30,600,4,2
3373,18,-4,-4,-5
3374,44,1086,2,1
3375,43,800,0,2
3376,65,1442,5,5
3377,74,1201,6,-5
3378,55,460,5,4
3379,80,1534,6,5
3380,91,1333,3,1
3381,82,1200,3,1
3382,70,1634,5,-5
3383,62,1201,4,-5
3384,54,1111,4,-5
3385,73,1115,-2,1
3386,22,1453,4,-5
3387,70,1057,2,3
3388,96,1169,5,-5
3389,81,1602,3,-5
3390,88,384,3,3
3391,99,625,4,3
3392,39,718,3,1
3393,23,600,3,4
3394,59,-4,4,5
3395,63,769,3,-5
3396,81,1050,0,-5
3397,39,-4,-4,1
3398,42,1730,3,-5
3399,84,1190,5,1
3400,26,1250,3,1
3401,34,1200,3,1
3402,55,854,4,2
3403,48,-5,-5,1
3404,87,1370,4,-5
3405,84,1239,4,1
3406,72,487,4,4
3407,-4,450,3,4
3408,29,333,3,-5
3409,55,750,3,-5
3410,75,839,4,4
3411,55,-4,2,-5
3412,-4,540,2,8
3413,87,-4,2,1
3414,59,1367,5,-5
3415,42,-5,-5,-5
3416,40,210,2,1
3417,33,1000,2,0
3418,29,2085,3,1
3419,51,1767,4,-5
3420,84,1442,3,1
3421,64,1208,3,1
3422,67,1518,5,5
3423,90,1666,3,3
3424,89,1275,3,2
3425,73,1250,3,1
3426,87,2234,5,4
3427,87,-5,-5,-5
3428,97,-4,-4,4
3429,93,-4,-4,3
3430,99,-4,-4,4
3431,99,1971,5,4
3432,95,1071,3,1
3433,84,-4,-4,8
3434,37,1201,5,4
3435,1,585,1,0
3436,1,-4,-4,0
3437,1,562,0,-5
3438,1,500,2,0
3439,47,-5,-5,-5
3440,15,865,1,1
3441,15,650,2,1
3442,93,-4,-4,-5
3443,95,-5,-5,-5
3444,25,450,3,1
3445,75,755,3,1
3446,48,500,3,-5
3447,6,-4,0,0
3448,-4,-4,-4,-5
3449,-4,-5,-5,1
3450,-4,-4,6,-5
3451,-4,1023,5,5
3452,35,780,3,1
3453,22,1050,3,1
3454,-4,385,0,2
3455,67,1320,3,1
3456,37,1252,3,1
3457,14,915,3,2
3458,21,587,4,2
3459,72,1098,4,4
3460,16,650,3,8
3461,92,1586,3,1
3462,42,-5,-5,-5
3463,47,684,4,3
3464,93,1076,5,4
3465,75,1162,4,1
3466,73,1230,4,8
3467,42,660,5,1
3468,96,777,3,1
3469,93,1534,5,5
3470,42,1282,3,-5
3471,21,1250,-2,1
3472,56,1880,5,-5
3473,35,2692,3,1
3474,16,2605,3,-5
3475,15,375,3,1
3476,29,502,2,1
3477,57,1000,0,1
3478,51,1353,4,-5
3479,29,1442,3,1
3480,32,500,4,-5
3481,70,1567,4,1
3482,18,950,3,1
3483,19,810,3,0
3484,7,562,2,-5
3485,93,925,5,5
3486,82,1800,4,8
3487,33,811,3,1
3488,55,-4,3,1
3489,46,1153,3,-5
3490,-4,-5,-5,-5
3491,22,790,3,-5
3492,54,705,3,1
3493,62,1250,4,1
3494,58,1400,3,1
3495,48,1607,0,1
3496,62,841,3,2
3497,84,-4,-4,4
3498,22,-4,-4,-5
3499,-4,-5,-5,5
3500,71,828,5,-5
3501,29,450,3,-5
3502,47,1090,3,1
3503,67,1461,3,-5
3504,48,-5,-5,-5
3505,54,1250,5,2
3506,78,975,5,8
3507,69,1448,3,-5
3508,20,410,3,1
3509,-4,964,3,1
3510,18,-5,-5,-5
3511,75,-4,-4,1
3512,15,468,3,1
3513,25,939,3,1
3514,65,700,3,1
3515,98,1831,5,5
3516,22,-4,3,1
3517,30,-5,-5,-5
3518,34,1040,3,1
3519,4,500,3,1
3520,29,1201,5,-5
3521,37,953,4,2
3522,10,697,0,1
3523,52,-4,-4,1
3524,26,1465,5,2
3525,98,2403,5,-5
3526,50,1257,3,-5
3527,59,600,3,1
3528,51,1502,3,-5
3529,44,1923,5,-5
3530,94,1076,3,4
3531,76,384,3,1
3532,47,-4,-4,1
3533,86,2884,4,1
3534,95,2008,4,4
3535,92,1063,5,-5
3536,59,742,5,-5
3537,48,1000,3,1
3538,75,1000,4,1
3539,11,400,2,0
3540,37,750,0,0
3541,6,628,1,-5
3542,11,725,2,-5
3543,19,679,0,1
3544,8,450,0,1
3545,32,1263,3,1
3546,42,800,4,1
3547,41,865,4,1
3548,16,-4,-4,2
3549,27,375,3,1
3550,64,1174,3,1
3551,92,1051,4,4
3552,72,867,4,2
3553,73,2500,3,1
3554,44,1118,3,0
3555,37,350,0,1
3556,30,500,3,1
3557,27,993,3,1
3558,58,500,3,4
3559,84,685,3,1
3560,67,538,3,1
3561,4,943,3,1
3562,17,837,3,1
3563,15,1043,3,1
3564,17,665,3,1
3565,84,835,5,-5
3566,61,-4,-4,1
3567,72,860,3,2
3568,35,-5,-5,-5
3569,16,860,3,1
3570,6,510,3,0
3571,13,780,3,0
3572,13,-4,-4,0
3573,99,-4,-4,2
3574,99,961,4,1
3575,39,1425,4,1
3576,56,-4,-4,1
3577,2,-5,-5,-5
3578,10,-5,-5,-5
3579,56,673,3,1
3580,71,755,3,1
3581,59,2235,5,4
3582,80,1610,5,5
3583,99,1307,5,5
3584,22,500,0,1
3585,97,2403,5,3
3586,-4,375,2,1
3587,79,1238,4,1
3588,65,700,6,8
3589,58,1072,3,1
3590,92,850,3,1
3591,70,1945,4,1
3592,56,550,3,1
3593,56,570,3,1
3594,31,390,3,1
3595,40,1375,3,1
3596,36,950,3,1
3597,66,200,0,1
3598,21,1362,3,1
3599,52,1175,3,-5
3600,79,1709,4,1
3601,78,-4,-4,3
3602,57,1254,3,1
3603,57,715,3,1
3604,26,840,3,1
3605,80,1057,3,1
3606,49,500,3,1
3607,42,400,2,0
3608,93,-5,-5,4
3609,53,335,3,2
3610,28,430,3,1
3611,49,1100,3,1
3612,37,500,1,1
3613,77,750,3,1
3614,92,1110,5,5
3615,76,575,4,-5
3616,88,800,3,1
3617,88,1153,3,4
3618,75,500,0,4
3619,84,-5,-5,5
3620,44,630,3,1
3621,9,940,3,1
3622,5,563,3,-5
3623,95,935,5,4
3624,91,721,4,3
3625,84,650,5,3
3626,53,939,5,3
3627,70,1383,3,1
3628,65,1790,5,4
3629,66,1398,5,4
3630,93,450,2,1
3631,11,-5,-5,-5
3632,6,630,3,0
3633,-4,-4,-4,1
3634,10,600,0,0
3635,15,659,3,0
3636,49,711,4,5
3637,23,625,3,1
3638,25,925,3,-5
3639,2,775,0,0
3640,4,525,3,1
3641,50,842,3,5
3642,36,-4,6,-5
3643,22,1033,5,4
3644,29,-4,-4,-5
3645,27,-4,3,-5
3646,65,1309,2,-5
3647,15,420,2,1
3648,35,-4,-4,1
3649,8,-4,-4,1
3650,36,924,3,1
3651,54,1167,4,4
3652,12,788,2,0
3653,57,1063,2,1
3654,7,377,3,1
3655,16,700,3,1
3656,40,576,3,-5
3657,10,520,0,0
3658,3,493,0,1
3659,19,600,3,1
3660,3,-5,-5,1
3661,36,647,3,2
3662,23,488,4,1
3663,72,1220,4,4
3664,91,930,5,-5
3665,84,-5,-5,-5
3666,86,929,4,1
3667,70,285,0,1
3668,99,1794,5,6
3669,88,1816,5,4
3670,99,264,6,-5
3671,88,666,4,-5
3672,86,2500,5,-5
3673,87,-4,5,-5
3674,55,-4,-4,-5
3675,51,1000,3,4
3676,92,1196,4,2
3677,88,673,5,3
3678,74,1009,4,-5
3679,55,1923,4,-4
3680,84,1031,4,4
3681,-4,986,5,4
3682,74,1009,4,-5
3683,99,-5,-5,-5
3684,99,480,6,-5
3685,79,2564,5,4
3686,71,1150,3,4
3687,41,915,5,3
3688,97,-5,-5,-5
3689,99,1442,6,7
3690,96,1102,5,8
3691,-4,-5,-5,1
3692,13,-4,-4,1
3693,28,1200,2,0
3694,50,841,2,1
3695,40,600,3,2
3696,36,-5,-5,-5
3697,14,-4,-4,8
3698,21,500,3,-5
3699,15,620,3,2
3700,52,825,2,1
3701,-4,-5,-5,-5
3702,55,1390,3,1
3703,1,380,2,0
3704,8,-4,-4,0
3705,61,576,3,2
3706,57,1250,3,1
3707,90,3605,5,4
3708,86,1533,3,1
3709,49,950,5,3
3710,-4,1012,4,1
3711,86,2000,5,-5
3712,78,-4,-4,4
3713,71,1282,3,1
3714,67,-4,-4,2
3715,79,-4,3,-5
3716,75,1400,3,1
3717,82,746,3,-5
3718,37,550,3,2
3719,34,425,3,1
3720,67,-4,-4,-5
3721,80,-4,-4,1
3722,48,-5,-5,1
3723,45,420,2,0
3724,55,500,3,1
3725,49,1279,3,1
3726,68,938,2,1
3727,56,150,2,-5
3728,54,-4,-4,1
3729,54,360,2,1
3730,92,1167,0,2
3731,43,600,3,-5
3732,97,1075,3,1
3733,5,-4,-4,1
3734,71,1197,4,1
3735,47,1356,4,1
3736,65,57692,3,1
3737,44,1325,3,1
3738,28,440,0,1
3739,61,925,3,1
3740,15,450,2,0
3741,18,450,0,1
3742,25,950,2,0
3743,93,1453,5,-5
3744,84,875,3,1
3745,95,2000,5,4
3746,32,-4,-4,1
3747,28,1068,4,-5
3748,84,600,3,-5
3749,4,33,2,1
3750,68,700,3,-5
3751,43,850,3,1
3752,-4,1321,2,1
3753,-4,250,0,1
3754,82,720,3,1
3755,75,943,4,1
3756,53,161,3,1
3757,96,1367,6,5
3758,90,642,6,1
3759,33,400,0,2
3760,42,1142,3,1
3761,14,-5,-5,-5
3762,-4,883,4,-5
3763,-4,657,3,1
3764,85,-4,3,1
3765,76,1068,4,1
3766,82,1365,3,1
3767,78,620,1,0
3768,19,700,3,0
3769,30,-4,0,2
3770,55,930,3,1
3771,74,801,4,4
3772,56,865,3,-5
3773,68,813,4,-5
3774,-4,-4,-4,0
3775,77,750,3,3
3776,85,997,3,1
3777,57,1115,3,1
3778,32,-5,-5,-5
3779,89,1659,5,5
3780,50,-4,-4,1
3781,70,872,5,3
3782,82,-5,-5,-5
3783,67,805,5,4
3784,29,533,0,1
3785,94,-5,-5,-5
3786,29,713,4,2
3787,67,-4,-4,2
3788,70,-5,-5,-5
3789,59,2019,-2,1
3790,37,-4,-4,1
3791,77,761,3,2
3792,97,1546,5,5
3793,54,1161,4,4
3794,53,721,4,1
3795,72,747,4,2
3796,88,821,3,1
3797,78,465,3,2
3798,46,-4,-4,5
3799,62,1200,-2,4
3800,63,1333,5,4
3801,35,664,3,-5
3802,74,500,3,1
3803,82,935,6,5
3804,85,831,5,5
3805,75,811,4,4
3806,70,811,3,1
3807,51,697,3,2
3808,99,-4,-4,-5
3809,90,1055,5,3
3810,26,1000,3,-5
3811,99,0,3,4
3812,99,-4,-4,4
3813,77,600,3,8
3814,62,566,3,1
3815,84,1038,5,4
3816,81,333,3,3
3817,96,1634,5,5
3818,99,1400,5,-5
3819,13,-4,-4,1
3820,28,-5,-5,-5
3821,2,-4,-4,0
3822,4,335,0,1
3823,-4,-5,-5,1
3824,39,753,4,1
3825,11,365,2,1
3826,2,-5,-5,-5
3827,8,625,0,1
3828,12,-4,1,1
3829,42,755,3,1
3830,34,625,2,1
3831,33,740,3,-5
3832,32,841,3,1
3833,42,882,4,1
3834,86,-5,-5,-5
3835,80,-5,-5,-5
3836,90,2019,4,5
3837,56,500,0,0
3838,37,500,3,8
3839,37,750,1,0
3840,11,625,3,1
3841,45,-5,-5,-5
3842,53,-4,-4,0
3843,-4,-4,-4,-5
3844,85,398,0,1
3845,50,735,3,1
3846,57,865,4,8
3847,61,1899,3,1
3848,-4,1490,4,3
3849,38,1153,3,-5
3850,52,790,3,1
3851,35,380,4,1
3852,35,1000,3,1
3853,90,450,2,3
3854,78,1700,6,7
3855,89,1000,3,6
3856,34,649,3,-5
3857,93,1402,5,4
3858,30,625,3,-5
3859,16,450,3,-5
3860,99,1129,5,3
3861,89,1009,4,3
3862,75,961,3,-5
3863,90,2622,6,6
3864,81,-5,-5,-5
3865,91,-4,6,7
3866,80,1083,3,5
3867,76,883,4,2
3868,84,440,0,5
3869,70,-5,-5,-5
3870,78,821,3,1
3871,92,654,6,7
3872,96,961,5,4
3873,99,1816,6,7
3874,96,7905,5,-5
3875,81,865,5,4
3876,53,812,4,3
3877,77,192,5,3
3878,29,465,4,2
3879,84,400,3,-5
3880,84,-5,-5,-5
3881,39,-5,-5,-5
3882,89,2250,0,-5
3883,88,2100,4,2
3884,63,950,4,4
3885,99,2163,5,-5
3886,96,1000,5,3
3887,99,-4,-4,-5
3888,67,717,4,1
3889,76,575,1,4
3890,84,1555,5,5
3891,17,692,4,-5
3892,91,1582,5,4
3893,61,400,3,-5
3894,89,675,3,5
3895,93,3044,6,7
3896,62,1461,5,3
3897,45,1442,5,-5
3898,68,1617,6,4
3899,54,-4,-4,1
3900,18,649,3,1
3901,90,-5,-5,4
3902,99,1113,4,3
3903,71,1098,6,5
3904,64,631,5,5
3905,11,700,3,1
3906,27,600,3,1
3907,69,727,2,1
3908,47,899,0,1
3909,76,-5,-5,-5
3910,57,750,5,3
3911,73,810,3,5
3912,64,-4,3,3
3913,85,1009,5,3
3914,-4,1442,3,0
3915,-4,450,2,4
3916,85,-5,-5,5
3917,14,726,3,2
3918,99,1077,6,6
3919,59,1559,3,1
3920,50,541,3,1
3921,62,416,3,2
3922,84,600,5,4
3923,56,692,3,4
3924,92,720,5,5
3925,91,1000,5,3
3926,81,1081,6,5
3927,35,680,1,1
3928,11,175,3,1
3929,29,-4,-4,1
3930,47,494,2,1
3931,-4,460,2,0
3932,23,795,3,-5
3933,4,664,3,1
3934,12,1346,0,1
3935,-4,360,3,1
3936,5,460,0,-5
3937,21,889,5,-5
3938,5,1048,3,1
3939,-4,-5,-5,-5
3940,4,595,3,-5
3941,-4,-4,-4,-5
3942,5,-4,-4,1
3943,8,650,0,1
3944,10,-4,-4,1
3945,3,495,3,0
3946,4,340,3,3
3947,-4,-5,-5,-5
3948,2,400,2,0
3949,21,1000,4,1
3950,-4,500,1,1
3951,-4,-5,-5,-5
3952,34,1301,3,3
3953,31,1298,3,3
3954,26,940,2,1
3955,4,525,3,1
3956,61,1083,4,-5
3957,45,1045,3,1
3958,9,1166,2,1
3959,17,-5,-5,-5
3960,9,750,4,1
3961,35,1000,2,0
3962,85,144,0,8
3963,23,825,3,1
3964,81,-4,-4,5
3965,63,1738,4,1
3966,85,-4,-4,6
3967,80,2403,5,4
3968,87,1442,5,3
3969,65,1750,4,2
3970,82,-4,-4,4
3971,99,1923,5,-5
3972,73,805,4,4
3973,40,800,3,1
3974,35,800,2,-5
3975,9,-5,-5,-5
3976,7,437,3,-5
3977,16,-4,-4,0
3978,12,750,0,1
3979,94,-4,-4,8
3980,99,-5,-5,4
3981,21,600,2,-5
3982,25,335,0,1
3983,-4,-5,-5,-5
3984,87,2384,5,-5
3985,24,1050,3,1
3986,18,1162,-2,1
3987,11,714,3,1
3988,23,694,4,1
3989,25,807,3,1
3990,53,700,2,-5
3991,6,-4,-4,0
3992,42,909,4,1
3993,45,375,2,1
3994,39,400,3,1
3995,20,468,3,2
3996,5,602,2,1
3997,21,-4,-4,1
3998,6,790,3,0
3999,25,1500,3,-5
4000,29,-5,-5,-5
4001,59,500,4,1
4002,30,444,5,4
4003,-4,-4,-4,-5
4004,66,1201,4,0
4005,26,697,1,1
4006,31,-4,-4,5
4007,43,606,2,3
4008,17,778,4,1
4009,59,529,2,1
4010,74,1081,5,5
4011,-4,750,0,0
4012,25,375,3,2
4013,11,-5,-5,1
4014,17,450,3,1
4015,32,730,3,1
4016,8,495,2,1
4017,16,525,0,1
4018,4,1250,1,1
4019,91,543,3,3
4020,18,1500,3,1
4021,28,453,3,1
4022,21,755,3,1
4023,88,15384,4,4
4024,1,1000,0,0
4025,25,700,0,1
4026,-4,1328,3,-5
4027,54,549,4,-5
4028,17,475,3,0
4029,35,500,2,-5
4030,47,961,5,3
4031,1,700,3,1
4032,75,927,3,1
4033,84,932,3,2
4034,55,825,3,1
4035,53,752,3,1
4036,27,1050,3,1
4037,78,918,3,1
4038,30,585,3,-5
4039,62,840,4,1
4040,54,-5,-5,-5
4041,70,285,3,1
4042,63,1000,4,2
4043,40,1300,4,-5
4044,18,800,3,-5
4045,27,375,0,4
4046,12,729,2,0
4047,4,405,2,0
4048,72,1538,0,1
4049,38,575,2,1
4050,52,875,3,-5
4051,84,575,2,1
4052,67,1709,5,1
4053,53,1500,4,5
4054,29,625,4,2
4055,89,1250,5,5
4056,77,1000,5,4
4057,53,897,5,5
4058,77,1324,4,4
4059,95,1291,6,-5
4060,81,909,-2,2
4061,30,900,3,1
4062,65,1600,0,1
4063,-4,735,4,1
4064,86,785,3,1
4065,53,760,3,1
4066,68,-4,-4,1
4067,44,750,2,1
4068,9,951,2,0
4069,23,769,3,1
4070,8,-4,-4,-4
4071,12,555,3,1
4072,11,1000,0,0
4073,18,-5,-5,-5
4074,98,1884,6,6
4075,57,-4,-4,-5
4076,61,-4,-4,1
4077,66,580,3,1
4078,-4,700,3,1
4079,-4,410,3,1
4080,39,-4,3,1
4081,11,500,0,1
4082,6,-4,-4,-5
4083,17,-4,-4,1
4084,79,981,5,5
4085,23,-4,-4,1
4086,88,860,5,-5
4087,52,1648,3,-5
4088,75,3464,4,1
4089,39,875,0,1
4090,34,775,3,1
4091,42,1500,3,1
4092,66,769,5,5
4093,75,-4,-4,3
4094,70,1250,4,4
4095,65,1666,5,4
4096,-4,-5,-5,-5
4097,75,678,3,1
4098,11,1040,3,1
4099,28,524,3,1
4100,27,-5,-5,1
4101,27,471,1,1
4102,64,625,0,1
4103,50,855,4,1
4104,43,550,2,-5
4105,37,550,3,1
4106,94,796,5,3
4107,99,-4,-4,5
4108,62,480,5,3
4109,80,810,3,2
4110,27,225,2,1
4111,2,750,0,0
4112,5,-4,-4,1
4113,10,500,0,1
4114,48,1011,3,1
4115,55,-4,-4,-5
4116,64,846,5,4
4117,19,425,2,1
4118,5,440,0,-5
4119,17,550,0,-5
4120,31,700,-2,2
4121,11,525,3,1
4122,98,1373,5,3
4123,10,-4,-4,1
4124,62,841,5,5
4125,35,675,3,1
4126,-4,75,2,-5
4127,68,1104,3,-5
4128,51,760,4,1
4129,58,625,4,2
4130,1,425,0,1
4131,72,750,4,1
4132,42,335,0,2
4133,14,400,1,1
4134,51,540,3,1
4135,27,505,3,1
4136,2,335,-2,0
4137,56,-5,-5,4
4138,3,800,0,-5
4139,-4,-5,-5,-5
4140,42,1350,0,1
4141,44,765,2,1
4142,28,598,3,1
4143,56,699,0,8
4144,17,-5,-5,-5
4145,27,350,3,1
4146,-4,-5,-5,-5
4147,47,325,3,2
4148,33,174,3,4
4149,36,1514,3,1
4150,48,575,3,1
4151,56,650,3,1
4152,61,1377,3,1
4153,38,697,4,1
4154,37,881,4,1
4155,7,775,0,-5
4156,7,1000,3,1
4157,25,-4,0,-5
4158,22,400,0,1
4159,25,1400,0,1
4160,42,349,4,-5
4161,44,1000,0,1
4162,38,833,3,-5
4163,66,783,4,1
4164,58,1730,5,4
4165,39,-5,-5,4
4166,58,720,3,1
4167,3,-4,-4,0
4168,3,550,2,1
4169,18,500,0,-5
4170,71,-4,-4,1
4171,93,813,5,3
4172,88,-4,4,4
4173,16,550,3,-5
4174,59,910,3,-5
4175,6,697,3,1
4176,8,639,4,2
4177,3,-4,-4,0
4178,4,-4,-4,1
4179,35,1375,3,1
4180,44,503,3,1
4181,32,450,3,1
4182,16,692,3,0
4183,9,525,0,-5
4184,39,845,3,-5
4185,32,12,1,8
4186,61,1057,5,-5
4187,36,650,3,1
4188,63,500,3,1
4189,1,335,1,0
4190,99,-5,-5,-5
4191,87,1201,5,5
4192,73,1538,5,4
4193,58,1442,5,-5
4194,43,1450,4,5
4195,6,460,3,1
4196,1,-4,-4,1
4197,1,-4,-4,1
4198,5,525,3,1
4199,9,-4,-4,0
4200,11,925,3,1
4201,4,-5,-5,1
4202,6,600,0,-5
4203,13,-4,-4,-5
4204,19,357,3,1
4205,1,520,3,1
4206,6,-4,-4,1
4207,90,-5,-5,-5
4208,75,1160,5,5
4209,2,-4,-4,0
4210,2,335,4,1
4211,7,833,2,-5
4212,22,-4,-4,1
4213,79,-4,-4,4
4214,14,625,4,3
4215,4,1660,2,8
4216,48,535,3,1
4217,-4,850,3,-5
4218,-4,-4,-4,8
4219,30,700,3,1
4220,44,620,3,1
4221,6,800,1,0
4222,63,795,3,1
4223,38,571,3,1
4224,78,-4,4,5
4225,55,1144,0,2
4226,91,232,5,6
4227,79,897,5,5
4228,31,461,3,1
4229,16,-4,0,-5
4230,82,1014,4,2
4231,38,470,3,1
4232,62,-4,-4,4
4233,46,550,4,-5
4234,23,633,2,1
4235,22,1300,0,0
4236,86,1138,3,1
4237,56,1000,3,1
4238,92,1220,0,2
4239,35,830,3,1
4240,58,856,3,1
4241,-4,-4,-4,0
4242,36,1009,3,1
4243,6,400,0,1
4244,93,-4,-4,5
4245,51,1185,4,4
4246,-4,162,3,1
4247,25,1600,5,0
4248,67,750,3,1
4249,53,1120,4,1
4250,-4,1198,3,1
4251,18,769,3,1
4252,53,1400,4,2
4253,61,2307,0,-5
4254,43,400,3,1
4255,64,1111,6,5
4256,25,595,-2,-5
4257,53,650,3,4
4258,63,-5,-5,-5
4259,12,425,3,1
4260,95,444,3,-5
4261,16,550,2,0
4262,41,-4,-4,0
4263,17,575,1,0
4264,7,500,1,0
4265,61,465,4,1
4266,9,752,2,-5
4267,22,400,4,1
4268,87,800,3,1
4269,45,800,3,-5
4270,21,335,3,1
4271,12,1326,5,4
4272,25,-5,-5,4
4273,9,666,0,0
4274,14,461,2,0
4275,15,-4,-4,1
4276,16,-4,1,-5
4277,10,589,3,-5
4278,67,1000,3,1
4279,81,854,2,1
4280,96,898,4,-4
4281,69,581,3,-5
4282,36,1220,4,2
4283,16,75,0,-5
4284,56,1023,4,2
4285,36,1129,4,2
4286,-4,-4,-4,-5
4287,73,1341,5,-5
4288,79,875,4,4
4289,95,4166,6,6
4290,91,450,3,6
4291,25,815,4,-5
4292,66,676,4,1
4293,84,-4,-4,5
4294,-4,177,-3,1
4295,48,800,4,8
4296,70,834,5,4
4297,59,961,4,1
4298,89,1293,3,-4
4299,68,1346,4,4
4300,82,715,4,1
4301,51,-4,-4,-5
4302,82,649,5,5
4303,47,201,3,1
4304,-4,784,4,1
4305,9,625,3,1
4306,80,755,4,-5
4307,86,1730,0,1
4308,52,857,3,0
4309,59,1153,5,-5
4310,49,625,2,1
4311,62,1373,4,1
4312,5,600,3,1
4313,9,333,3,0
4314,10,450,2,0
4315,18,2797,4,2
4316,29,700,1,1
4317,19,375,2,2
4318,66,1300,2,1
4319,49,700,4,1
4320,40,641,3,2
4321,32,1470,3,1
4322,-4,-5,-5,-5
4323,40,365,2,1
4324,12,1254,3,1
4325,43,1187,3,-5
4326,49,1666,4,1
4327,73,-4,-4,1
4328,53,675,0,1
4329,68,1377,3,1
4330,9,930,3,2
4331,29,-5,-5,-5
4332,73,700,2,-5
4333,42,625,4,1
4334,25,705,3,-5
4335,17,1125,3,0
4336,1,355,2,1
4337,65,348,3,1
4338,50,-4,-4,1
4339,57,1063,4,1
4340,23,850,3,-5
4341,15,850,3,1
4342,42,1111,3,-5
4343,35,514,0,-5
4344,-4,400,3,1
4345,35,-5,-5,1
4346,-4,-4,-4,1
4347,37,-5,-5,1
4348,47,1375,4,2
4349,2,600,0,0
4350,95,961,5,4
4351,96,-4,6,8
4352,84,1631,5,4
4353,85,1527,5,4
4354,59,-4,-4,1
4355,76,266,5,2
4356,-4,852,0,4
4357,64,1950,3,1
4358,90,1000,4,-5
4359,41,819,5,-5
4360,84,1778,5,4
4361,50,6562,4,2
4362,80,1230,4,1
4363,59,641,4,-5
4364,19,607,3,1
4365,85,500,1,1
4366,65,1322,4,4
4367,31,-4,-4,0
4368,40,140,0,1
4369,-4,900,3,1
4370,52,825,3,1
4371,53,886,3,1
4372,97,1399,5,5
4373,25,750,3,1
4374,17,-5,-5,1
4375,-4,-5,-5,0
4376,62,375,3,1
4377,15,2746,-2,1
4378,31,-4,-4,-5
4379,84,500,1,1
4380,84,1000,3,1
4381,80,957,4,-5
4382,99,-4,-4,4
4383,32,550,4,-5
4384,17,-4,-4,1
4385,-4,193,1,0
4386,18,155,2,1
4387,99,725,5,3
4388,-4,1300,4,2
4389,-4,-5,-5,-5
4390,18,793,3,1
4391,70,755,3,1
4392,80,1709,5,4
4393,91,-5,-5,-5
4394,49,40000,3,-5
4395,71,1730,3,1
4396,28,565,2,-5
4397,9,876,3,-5
4398,37,930,0,0
4399,-4,865,4,-5
4400,-4,-4,4,-1
4401,44,375,2,-5
4402,53,1240,3,-5
4403,76,174,3,1
4404,1,-4,-4,-5
4405,17,664,3,1
4406,91,500,5,7
4407,90,1000,0,3
4408,64,1196,6,5
4409,42,1000,3,1
4410,59,810,-2,4
4411,37,930,3,2
4412,14,538,0,-5
4413,11,839,4,1
4414,-4,-5,-5,-5
4415,-4,-5,-5,-5
4416,5,-4,-4,0
4417,4,907,2,0
4418,51,1282,5,3
4419,85,2000,3,1
4420,23,1015,2,1
4421,80,975,4,5
4422,54,857,4,0
4423,82,1558,4,5
4424,79,2348,6,5
4425,91,1432,3,3
4426,96,2616,3,4
4427,36,2923,2,0
4428,99,1461,6,5
4429,90,-4,0,5
4430,69,940,3,2
4431,12,733,3,1
4432,53,800,2,1
4433,6,565,3,0
4434,3,500,0,-5
4435,21,-4,-4,1
4436,8,-4,-4,-5
4437,99,1209,3,3
4438,32,672,3,1
4439,80,-4,-4,2
4440,29,1562,3,-5
4441,43,-4,-4,-5
4442,41,-5,-5,-5
4443,29,1722,3,1
4444,10,1017,4,-5
4445,25,949,2,1
4446,75,-5,-5,-5
4447,65,600,3,1
4448,84,1076,0,3
4449,-4,-5,-5,-5
4450,45,1150,2,2
4451,34,1300,3,1
4452,22,800,0,1
4453,19,2243,3,4
4454,-4,-5,-5,-5
4455,64,-4,-4,0
4456,27,-5,-5,-5
4457,87,-4,-4,-5
4458,45,-4,-4,-5
4459,29,529,3,1
4460,56,-5,-5,-5
4461,13,500,3,1
4462,1,-4,-4,0
4463,27,465,3,-5
4464,13,755,2,2
4465,56,1403,4,0
4466,35,1000,3,4
4467,6,800,3,1
4468,72,1401,3,1
4469,21,900,4,1
4470,53,-4,-4,5
4471,89,1200,6,8
4472,69,721,3,1
4473,6,-4,-4,1
4474,13,900,3,0
4475,17,1050,3,1
4476,21,-4,-4,0
4477,24,900,3,-5
4478,80,475,3,2
4479,66,1098,6,5
4480,91,1718,5,4
4481,70,-4,-4,-5
4482,14,331,2,0
4483,13,-4,-4,0
4484,-4,284,-2,0
4485,-4,667,0,0
4486,50,900,3,-5
4487,59,-4,-4,1
4488,86,1104,4,1
4489,9,625,3,1
4490,22,350,2,0
4491,-4,1602,0,-5
